Accession	Dataset	Tissue	CellLine	PrimaryCell	Lab	Link	DataType	Controls
ENCFF001GDS	/experiments/ENCSR000DXT/	.	.	skeletal muscle cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001GDS/@@download/ENCFF001GDS.bigWig	raw signal	/files/ENCFF001HXC/, /files/ENCFF001HXD/, /files/ENCFF001HXN/, /files/ENCFF421WFD/, /files/ENCFF552ORJ/, /files/ENCFF746GSV/, /files/ENCFF501QRQ/
ENCFF001FYQ	/experiments/ENCSR000DWP/	.	NB4	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FYQ/@@download/ENCFF001FYQ.bigWig	raw signal	/files/ENCFF001HUN/, /files/ENCFF001HUO/, /files/ENCFF001HVB/, /files/ENCFF504UBQ/, /files/ENCFF312FHK/, /files/ENCFF853WVC/, /files/ENCFF010VRA/
ENCFF001FEH	/experiments/ENCSR000DSR/	.	H7	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig	raw signal	/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/
ENCFF001FEI	/experiments/ENCSR000DSR/	.	H7	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FEI/@@download/ENCFF001FEI.bigWig	raw signal	/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/
ENCFF001FSG	/experiments/ENCSR000DVM/	.	.	endothelial cell of umbilical vein	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FSG/@@download/ENCFF001FSG.bigWig	raw signal	/files/ENCFF001HSJ/, /files/ENCFF001HSK/, /files/ENCFF001HSV/, /files/ENCFF745AMT/, /files/ENCFF265HDZ/, /files/ENCFF468CIV/, /files/ENCFF242GIK/
ENCFF001FSH	/experiments/ENCSR000DVM/	.	.	endothelial cell of umbilical vein	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FSH/@@download/ENCFF001FSH.bigWig	raw signal	/files/ENCFF001HSJ/, /files/ENCFF001HSK/, /files/ENCFF001HSV/, /files/ENCFF745AMT/, /files/ENCFF265HDZ/, /files/ENCFF468CIV/, /files/ENCFF242GIK/
ENCFF000BHV	/experiments/ENCSR000ARG/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BHV/@@download/ENCFF000BHV.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF001EPU	/experiments/ENCSR000DQA/	.	.	fibroblast of the aortic adventitia	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EPU/@@download/ENCFF001EPU.bigWig	raw signal	/files/ENCFF001GYT/, /files/ENCFF001GYU/, /files/ENCFF001GZF/, /files/ENCFF798MEL/, /files/ENCFF436GDS/, /files/ENCFF345HOL/, /files/ENCFF972ATQ/
ENCFF001EPV	/experiments/ENCSR000DQA/	.	.	fibroblast of the aortic adventitia	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EPV/@@download/ENCFF001EPV.bigWig	raw signal	/files/ENCFF001GYT/, /files/ENCFF001GYU/, /files/ENCFF001GZF/, /files/ENCFF798MEL/, /files/ENCFF436GDS/, /files/ENCFF345HOL/, /files/ENCFF972ATQ/
ENCFF000AJS	/experiments/ENCSR000ASV/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AJS/@@download/ENCFF000AJS.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
ENCFF000AJA	/experiments/ENCSR000AVI/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AJA/@@download/ENCFF000AJA.bigWig	signal	/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/
ENCFF000BDS	/experiments/ENCSR000AME/	.	HepG2	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BDS/@@download/ENCFF000BDS.bigWig	signal	
ENCFF000CRR	/experiments/ENCSR000AMS/	.	.	fibroblast of lung	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CRR/@@download/ENCFF000CRR.bigWig	signal	/files/ENCFF000CQE/, /files/ENCFF000CQF/, /files/ENCFF000CQH/, /files/ENCFF000CQO/, /files/ENCFF000CQP/, /files/ENCFF554LJZ/, /files/ENCFF681UKF/, /files/ENCFF386PAD/, /files/ENCFF007RSP/, /files/ENCFF923PUU/, /files/ENCFF208SHP/, /files/ENCFF552KRT/, /files/ENCFF250VFW/, /files/ENCFF579ZCP/
ENCFF000VFR	/experiments/ENCSR000EWR/	.	MCF-7	.	Peggy Farnham, USC	https://www.encodeproject.org/files/ENCFF000VFR/@@download/ENCFF000VFR.bigWig	signal	/files/ENCFF000VGM/, /files/ENCFF000VGO/, /files/ENCFF000VGP/, /files/ENCFF000VHL/, /files/ENCFF000VHM/, /files/ENCFF846QOW/, /files/ENCFF791WJU/, /files/ENCFF076CJL/, /files/ENCFF839GWH/, /files/ENCFF891EBF/, /files/ENCFF610RHP/, /files/ENCFF162ZAB/, /files/ENCFF166QBJ/
ENCFF001FZP	/experiments/ENCSR000DWU/	.	.	keratinocyte	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FZP/@@download/ENCFF001FZP.bigWig	raw signal	/files/ENCFF001HVM/, /files/ENCFF001HVO/, /files/ENCFF001HVV/, /files/ENCFF969GRO/, /files/ENCFF962BWT/, /files/ENCFF358LHD/, /files/ENCFF707BUF/
ENCFF001FZR	/experiments/ENCSR000DWU/	.	.	keratinocyte	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FZR/@@download/ENCFF001FZR.bigWig	raw signal	/files/ENCFF001HVM/, /files/ENCFF001HVO/, /files/ENCFF001HVV/, /files/ENCFF969GRO/, /files/ENCFF962BWT/, /files/ENCFF358LHD/, /files/ENCFF707BUF/
ENCFF000BGH	/experiments/ENCSR000AOM/	.	HepG2	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BGH/@@download/ENCFF000BGH.bigWig	signal	/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/
ENCFF000BGT	/experiments/ENCSR000AMQ/	.	HepG2	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BGT/@@download/ENCFF000BGT.bigWig	signal	/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/
ENCFF000BJL	/experiments/ENCSR000ASB/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BJL/@@download/ENCFF000BJL.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF000AQY	/experiments/ENCSR000ARC/	.	DND-41	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AQY/@@download/ENCFF000AQY.bigWig	signal	/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/
ENCFF001FJA	/experiments/ENCSR000DTT/	.	.	epithelial cell of esophagus	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FJA/@@download/ENCFF001FJA.bigWig	raw signal	/files/ENCFF001HMG/, /files/ENCFF001HMH/, /files/ENCFF001HMS/, /files/ENCFF008DOI/, /files/ENCFF255XVF/, /files/ENCFF643VRW/, /files/ENCFF145CAZ/
ENCFF001FJB	/experiments/ENCSR000DTT/	.	.	epithelial cell of esophagus	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FJB/@@download/ENCFF001FJB.bigWig	raw signal	/files/ENCFF001HMG/, /files/ENCFF001HMH/, /files/ENCFF001HMS/, /files/ENCFF008DOI/, /files/ENCFF255XVF/, /files/ENCFF643VRW/, /files/ENCFF145CAZ/
ENCFF000CLJ	/experiments/ENCSR000APS/	.	.	fibroblast of dermis	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CLJ/@@download/ENCFF000CLJ.bigWig	signal	/files/ENCFF000CIN/, /files/ENCFF000CIO/, /files/ENCFF000CIP/, /files/ENCFF000CIU/, /files/ENCFF000CIW/, /files/ENCFF090CYH/, /files/ENCFF138XPE/, /files/ENCFF898XQK/, /files/ENCFF860HKY/, /files/ENCFF955HWE/, /files/ENCFF412GJA/, /files/ENCFF859VNG/, /files/ENCFF204ZPV/, /files/ENCFF092GQD/, /files/ENCFF753JIU/, /files/ENCFF615VVU/, /files/ENCFF487DBD/, /files/ENCFF782IQQ/, /files/ENCFF739WQP/, /files/ENCFF005RXL/, /files/ENCFF429XTA/, /files/ENCFF638YZB/
ENCFF000BYX	/experiments/ENCSR000APE/	.	K562	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BYX/@@download/ENCFF000BYX.bigWig	signal	/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/
ENCFF000BLY	/experiments/ENCSR000ANJ/	.	.	skeletal muscle myoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BLY/@@download/ENCFF000BLY.bigWig	signal	/files/ENCFF000BJZ/, /files/ENCFF000BKA/, /files/ENCFF000BKD/, /files/ENCFF000BKI/, /files/ENCFF000BKK/, /files/ENCFF009XHG/, /files/ENCFF298NLV/, /files/ENCFF791XAM/, /files/ENCFF698ZZD/, /files/ENCFF208RCO/, /files/ENCFF325AJA/, /files/ENCFF130ENW/, /files/ENCFF003XTF/, /files/ENCFF589EFJ/
ENCFF001FOA	/experiments/ENCSR000DUQ/	.	.	mammary epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FOA/@@download/ENCFF001FOA.bigWig	raw signal	/files/ENCFF001HPJ/, /files/ENCFF001HPK/, /files/ENCFF001HPU/, /files/ENCFF312QCP/, /files/ENCFF163IHR/, /files/ENCFF843OXE/, /files/ENCFF620RYQ/
ENCFF001FOC	/experiments/ENCSR000DUQ/	.	.	mammary epithelial cell	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FOC/@@download/ENCFF001FOC.bigWig	raw signal	/files/ENCFF001HPJ/, /files/ENCFF001HPK/, /files/ENCFF001HPU/, /files/ENCFF312QCP/, /files/ENCFF163IHR/, /files/ENCFF843OXE/, /files/ENCFF620RYQ/
ENCFF000BPV	/experiments/ENCSR000AON/	.	.	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BPV/@@download/ENCFF000BPV.bigWig	signal	/files/ENCFF000BNE/, /files/ENCFF000BNF/, /files/ENCFF000BNH/, /files/ENCFF000BNO/, /files/ENCFF000BNR/, /files/ENCFF384SVU/, /files/ENCFF742NGM/, /files/ENCFF408COK/, /files/ENCFF882RJG/, /files/ENCFF115XVH/, /files/ENCFF712QEE/, /files/ENCFF900ZEG/, /files/ENCFF695JTM/, /files/ENCFF559IIB/, /files/ENCFF180ALL/, /files/ENCFF341IUA/, /files/ENCFF873IRA/, /files/ENCFF512CVC/
ENCFF000AHY	/experiments/ENCSR000AUG/	.	A549	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000AHY/@@download/ENCFF000AHY.bigWig	signal	/files/ENCFF000AGZ/, /files/ENCFF000AHA/, /files/ENCFF000AHB/, /files/ENCFF000AHE/, /files/ENCFF000AHJ/, /files/ENCFF227MOQ/, /files/ENCFF514TMK/, /files/ENCFF284JEI/, /files/ENCFF569SHN/, /files/ENCFF990BDZ/, /files/ENCFF274LEX/, /files/ENCFF800GUG/, /files/ENCFF698OND/, /files/ENCFF016EQS/, /files/ENCFF289PMY/
ENCFF000BFO	/experiments/ENCSR000AMB/	.	HepG2	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BFO/@@download/ENCFF000BFO.bigWig	signal	/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/
ENCFF001FDN	/experiments/ENCSR000DSF/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FDN/@@download/ENCFF001FDN.bigWig	raw signal	/files/ENCFF001HIG/, /files/ENCFF001HIH/, /files/ENCFF001HIR/, /files/ENCFF663QBU/, /files/ENCFF331JTO/, /files/ENCFF962KKN/, /files/ENCFF164EAM/
ENCFF001FDO	/experiments/ENCSR000DSF/	.	.	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001FDO/@@download/ENCFF001FDO.bigWig	raw signal	/files/ENCFF001HIG/, /files/ENCFF001HIH/, /files/ENCFF001HIR/, /files/ENCFF663QBU/, /files/ENCFF331JTO/, /files/ENCFF962KKN/, /files/ENCFF164EAM/
ENCFF001ESB	/experiments/ENCSR000DQL/	.	Caco-2	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ESB/@@download/ENCFF001ESB.bigWig	raw signal	/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/
ENCFF001ESC	/experiments/ENCSR000DQL/	.	Caco-2	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ESC/@@download/ENCFF001ESC.bigWig	raw signal	/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/
ENCFF001EUO	/experiments/ENCSR000DQT/	.	GM06990	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EUO/@@download/ENCFF001EUO.bigWig	raw signal	/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/
ENCFF001EUP	/experiments/ENCSR000DQT/	.	GM06990	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EUP/@@download/ENCFF001EUP.bigWig	raw signal	/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/
ENCFF001EPH	/experiments/ENCSR000DPX/	.	AG10803	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EPH/@@download/ENCFF001EPH.bigWig	raw signal	/files/ENCFF001GYG/, /files/ENCFF001GYH/, /files/ENCFF001GYO/, /files/ENCFF258DWA/, /files/ENCFF085CHA/, /files/ENCFF323PSG/, /files/ENCFF060TFC/
ENCFF001EPI	/experiments/ENCSR000DPX/	.	AG10803	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EPI/@@download/ENCFF001EPI.bigWig	raw signal	/files/ENCFF001GYG/, /files/ENCFF001GYH/, /files/ENCFF001GYO/, /files/ENCFF258DWA/, /files/ENCFF085CHA/, /files/ENCFF323PSG/, /files/ENCFF060TFC/
ENCFF000BIB	/experiments/ENCSR000ALW/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BIB/@@download/ENCFF000BIB.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF000CEP	/experiments/ENCSR000ASK/	.	.	CD14-positive monocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000CEP/@@download/ENCFF000CEP.bigWig	signal	/files/ENCFF000CCJ/, /files/ENCFF000CCL/, /files/ENCFF000CCM/, /files/ENCFF000CCQ/, /files/ENCFF000CCW/, /files/ENCFF383QCX/, /files/ENCFF865NTT/, /files/ENCFF545JWL/, /files/ENCFF075YNC/, /files/ENCFF695ZNW/, /files/ENCFF914LSY/, /files/ENCFF572RFU/, /files/ENCFF701QJX/, /files/ENCFF730IJS/, /files/ENCFF692GVG/, /files/ENCFF244XQF/, /files/ENCFF365LFR/, /files/ENCFF020SWF/, /files/ENCFF894MBE/, /files/ENCFF172HPC/
ENCFF000COK	/experiments/ENCSR000ALN/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000COK/@@download/ENCFF000COK.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF001EMY	/experiments/ENCSR000DPJ/	.	AG04450	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EMY/@@download/ENCFF001EMY.bigWig	raw signal	/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/
ENCFF001EMZ	/experiments/ENCSR000DPJ/	.	AG04450	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EMZ/@@download/ENCFF001EMZ.bigWig	raw signal	/files/ENCFF001GWT/, /files/ENCFF001GWU/, /files/ENCFF001GXE/, /files/ENCFF602KDF/, /files/ENCFF732CPP/, /files/ENCFF883GTU/, /files/ENCFF864XXG/
ENCFF001HDW	/experiments/ENCSR000DRI/	.	GM12868	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001HDW/@@download/ENCFF001HDW.bigWig	raw signal	
ENCFF001HDX	/experiments/ENCSR000DRI/	.	GM12868	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001HDX/@@download/ENCFF001HDX.bigWig	raw signal	
ENCFF001EXX	/experiments/ENCSR000DRY/	.	GM12878	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EXX/@@download/ENCFF001EXX.bigWig	raw signal	/files/ENCFF001HHW/, /files/ENCFF001HHY/, /files/ENCFF001HID/, /files/ENCFF504ALV/, /files/ENCFF094HMB/, /files/ENCFF892TNJ/, /files/ENCFF359EAD/
ENCFF001EXZ	/experiments/ENCSR000DRY/	.	GM12878	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001EXZ/@@download/ENCFF001EXZ.bigWig	raw signal	/files/ENCFF001HHW/, /files/ENCFF001HHY/, /files/ENCFF001HID/, /files/ENCFF504ALV/, /files/ENCFF094HMB/, /files/ENCFF892TNJ/, /files/ENCFF359EAD/
ENCFF000BPF	/experiments/ENCSR000ANX/	.	.	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BPF/@@download/ENCFF000BPF.bigWig	signal	/files/ENCFF000BNE/, /files/ENCFF000BNF/, /files/ENCFF000BNH/, /files/ENCFF000BNO/, /files/ENCFF000BNR/, /files/ENCFF384SVU/, /files/ENCFF742NGM/, /files/ENCFF408COK/, /files/ENCFF882RJG/, /files/ENCFF115XVH/, /files/ENCFF712QEE/, /files/ENCFF900ZEG/, /files/ENCFF695JTM/, /files/ENCFF559IIB/, /files/ENCFF180ALL/, /files/ENCFF341IUA/, /files/ENCFF873IRA/, /files/ENCFF512CVC/
ENCFF000COC	/experiments/ENCSR000ALI/	.	.	keratinocyte	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000COC/@@download/ENCFF000COC.bigWig	signal	/files/ENCFF000CLV/, /files/ENCFF000CLW/, /files/ENCFF000CLX/, /files/ENCFF000CMD/, /files/ENCFF000CMJ/, /files/ENCFF604QBU/, /files/ENCFF292GHV/, /files/ENCFF221LXY/, /files/ENCFF377CTF/, /files/ENCFF516NPM/, /files/ENCFF050XUG/, /files/ENCFF288LLD/, /files/ENCFF587LRA/, /files/ENCFF715NGU/
ENCFF000BIN	/experiments/ENCSR000ALY/	.	.	mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BIN/@@download/ENCFF000BIN.bigWig	signal	/files/ENCFF000BGU/, /files/ENCFF000BGV/, /files/ENCFF000BGY/, /files/ENCFF000BHE/, /files/ENCFF000BHF/, /files/ENCFF997HCS/, /files/ENCFF556RIX/, /files/ENCFF152UJF/, /files/ENCFF702WJD/, /files/ENCFF749GHL/, /files/ENCFF913IHA/, /files/ENCFF788YKS/, /files/ENCFF813ZYQ/, /files/ENCFF607BMM/, /files/ENCFF417CEL/, /files/ENCFF903ATW/, /files/ENCFF801RTD/, /files/ENCFF062WDT/, /files/ENCFF115JNM/, /files/ENCFF861GBM/
ENCFF000BDB	/experiments/ENCSR000AOH/	.	HeLa-S3	.	Bradley Bernstein, Broad	https://www.encodeproject.org/files/ENCFF000BDB/@@download/ENCFF000BDB.bigWig	signal	/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/
ENCFF001ERE	/experiments/ENCSR000DQF/	.	BJ	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ERE/@@download/ENCFF001ERE.bigWig	raw signal	/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/
ENCFF001ERG	/experiments/ENCSR000DQF/	.	BJ	.	John Stamatoyannopoulos, UW	https://www.encodeproject.org/files/ENCFF001ERG/@@download/ENCFF001ERG.bigWig	raw signal	/files/ENCFF001GZS/, /files/ENCFF001GZU/, /files/ENCFF001HAG/, /files/ENCFF932RYQ/, /files/ENCFF517WZK/, /files/ENCFF503LCV/, /files/ENCFF706WFS/
